geoid,C
101,23500
102,30900
103,42000
104,53597
105,33450
106,29500
107,41740
200,34690
401,43760
402,99225
403,15950
404,3000
405,54100
406,26500
407,18500
408,46850
409,113426
501,24300
502,13000
503,36500
504,281417
601,8000
602,32200
603,38350
604,40650
605,49500
606,189260
607,172790
608,26000
609,94600
610,67500
611,11600
612,216845
613,35625
614,36680
615,115655
616,37600
617,175720
618,342683
619,270800
620,11550
621,49635
622,101485
623,366693
624,161850
625,23900
626,141150
627,88840
628,82550
629,83233
630,98550
631,17477
632,15000
633,163050
634,140721
635,5000
636,119518
637,228249
638,56050
639,81550
640,9500
641,74500
642,44300
643,25100
644,14000
645,9100
646,73500
647,25450
648,24500
649,180630
650,55300
651,31750
652,199775
653,38600
801,113710
802,53298
803,41800
804,472584
805,15000
806,153437
807,55822
901,63880
902,23000
903,18510
904,70250
905,90280
1000,22750
1198,8150
1201,16750
1202,39750
1203,11100
1204,62500
1205,16800
1206,88000
1207,25200
1208,12850
1209,54677
1210,38850
1211,16250
1212,62750
1213,33950
1214,74500
1215,33700
1216,54090
1217,26250
1218,82100
1219,4600
1220,41000
1221,117850
1222,34650
1223,50525
1224,17750
1225,45350
1226,185073
1227,72300
1301,127439
1302,59350
1303,30750
1304,74600
1305,35600
1306,76725
1307,33750
1308,28750
1309,71000
1310,21250
1311,49428
1312,203020
1313,27200
1314,42250
1501,67250
1502,93607
1601,34550
1602,78550
1701,68000
1702,19000
1703,11590
1704,34100
1705,36600
1706,141660
1707,24400
1708,89609
1709,26250
1710,85100
1711,78840
1712,32700
1713,58850
1714,15270
1715,129000
1716,141513
1717,56150
1718,89580
1801,14000
1802,40000
1803,18250
1804,38950
1805,77790
1806,34450
1807,26900
1808,18650
1809,46035
1901,202734
1902,23150
1903,28777
1904,34950
2001,28976
2002,72800
2003,95185
2004,165727
2101,81000
2102,152450
2103,52290
2104,25400
2105,39500
2106,28900
2201,258900
2202,99640
2203,65850
2204,25400
2205,10500
2206,222425
2301,16450
2302,7000
2401,10950
2402,99050
2403,18100
2404,12400
2405,265650
2406,26100
2407,27500
2408,73072
2501,93000
2502,18404
2503,36900
2504,144593
2505,94600
2506,40021
2507,14700
2508,26900
2509,29000
2601,35577
2602,20450
2603,40500
2604,85500
2605,13625
2606,422998
2607,36200
2608,109390
2609,54800
2610,22000
2611,2050
2612,47300
2613,183340
2614,221070
2701,29550
2702,67650
2703,115100
2704,14250
2705,32150
2706,4750
2707,23100
2708,15250
2801,29700
2802,83750
2803,66000
2804,20250
2901,25990
2902,54710
2903,38350
2904,14950
2905,42210
2906,79350
2907,132220
2908,108650
3000,219816
3101,23900
3102,268518
3103,35750
3201,41100
3202,42600
3203,61990
3204,88800
3301,45072
3302,120940
3401,29300
3402,19500
3403,6700
3404,12450
3405,44100
3406,164900
3407,79450
3408,43500
3409,34400
3410,28500
3411,24900
3412,55930
3501,35210
3502,24500
3503,165607
3601,97740
3602,32550
3603,140550
3604,9750
3605,62499
3606,40650
3607,28200
3608,156940
3609,51450
3610,178450
3611,45052
3612,37211
3613,36950
3614,210555
3615,6500
3616,81450
3617,77300
3618,209500
3619,72265
3620,73040
3621,28350
3622,25700
3623,140242
3624,99675
3625,31100
3626,10600
3627,18760
3701,115254
3702,117654
3703,4500
3704,33700
3705,38150
3706,12500
3707,20090
3708,43850
3709,35550
3710,59336
3711,9250
3712,0
3713,108500
3800,30250
3901,71550
3902,26180
3903,18400
3904,58455
3905,168300
3906,86457
3907,41300
3908,577200
3909,13450
3910,34779
3911,47600
3912,93400
3913,14500
3914,55850
3915,44200
3916,60200
4001,15500
4002,27340
4003,30850
4004,22850
4005,90850
4101,54950
4102,488107
4103,36300
4104,24050
4105,74400
4201,29500
4202,47250
4203,73900
4204,20000
4205,21125
4206,50600
4207,70974
4208,91100
4209,96250
4210,115689
4211,33200
4212,67311
4213,20500
4214,110500
4215,56250
4216,72515
4217,17550
4218,58250
4401,90000
4402,47350
4501,39950
4502,22000
4503,19000
4504,81700
4505,22500
4506,164500
4507,22700
4600,41300
4701,250
4702,5500
4703,22600
4704,5900
4705,19000
4706,36500
4707,182300
4708,16000
4709,61000
4801,27550
4802,56600
4803,32125
4804,27600
4805,64200
4806,86800
4807,31100
4808,75630
4809,11600
4810,116051
4811,34780
4812,21550
4813,82265
4814,29900
4815,40500
4816,15400
4817,35290
4818,13500
4819,22000
4820,74985
4821,174140
4822,64500
4823,88360
4824,24500
4825,33050
4826,49250
4827,80350
4828,53450
4829,78250
4830,22250
4831,44500
4832,130850
4833,40900
4834,45300
4835,29650
4836,9500
4901,7000
4902,34000
4903,133288
4904,69590
5000,125850
5101,32100
5102,50366
5103,33750
5104,58580
5105,23250
5106,524945
5107,16550
5108,63386
5109,67280
5110,13500
5111,186621
5301,279935
5302,51250
5303,44510
5304,28000
5305,154000
5306,96250
5307,5200
5308,50800
5309,101400
5310,78210
5401,42700
5402,138250
5403,50450
5501,233190
5502,23453
5503,114150
5504,12000
5505,83250
5506,7750
5507,56600
5508,40800
5600,10250
