geoid,F
101,273000
102,201550
103,136140
104,133347
105,56900
106,144000
107,505520
200,48688
401,157033
402,230933
403,41250
404,24550
405,92250
406,164150
407,5500
408,44400
409,937532
501,88612
502,148250
503,115319
504,2555379
601,69450
602,69880
603,129272
604,138924
605,348874
606,90700
607,389304
608,64400
609,112736
610,272877
611,44084
612,353550
613,101050
614,149970
615,259838
616,105796
617,273523
618,209022
619,184332
620,34250
621,168296
622,419550
623,1528694
624,112168
625,26600
626,193772
627,106475
628,119250
629,163702
630,373960
631,137463
632,18800
633,60950
634,429792
635,13750
636,285872
637,111725
638,271500
639,1000118
640,49000
641,122991
642,84150
643,433232
644,47450
645,116600
646,119340
647,55425
648,159132
649,347177
650,98700
651,225502
652,451100
653,51600
801,63000
802,166930
803,174150
804,1977454
805,65000
806,690546
807,717060
901,584179
902,155000
903,61050
904,1151119
905,328850
1000,617878
1198,91300
1201,81300
1202,512139
1203,51416
1204,276862
1205,43400
1206,233890
1207,78000
1208,257130
1209,76617
1210,151125
1211,42500
1212,134147
1213,319124
1214,60200
1215,648266
1216,285700
1217,117600
1218,2002928
1219,82193
1220,88000
1221,235537
1222,155800
1223,219135
1224,53250
1225,126723
1226,478045
1227,127300
1301,958099
1302,130690
1303,338790
1304,77100
1305,142900
1306,516095
1307,102345
1308,143690
1309,115050
1310,154813
1311,205673
1312,397794
1313,405510
1314,198950
1501,298583
1502,187044
1601,61800
1602,558918
1701,29350
1702,122722
1703,37600
1704,51940
1705,187701
1706,867400
1707,109050
1708,257306
1709,77725
1710,605921
1711,461888
1712,129409
1713,431045
1714,500077
1715,154450
1716,269382
1717,258554
1718,739640
1801,44900
1802,204116
1803,456500
1804,178950
1805,264900
1806,316391
1807,105200
1808,116692
1809,426149
1901,299050
1902,142364
1903,104463
1904,100120
2001,54700
2002,554513
2003,529722
2004,216800
2101,98500
2102,188400
2103,70600
2104,60125
2105,91200
2106,732623
2201,434500
2202,92795
2203,411759
2204,171721
2205,13050
2206,1705268
2301,45699
2302,19250
2401,94243
2402,113350
2403,141600
2404,36150
2405,792950
2406,731069
2407,62950
2408,228600
2501,680965
2502,63154
2503,135300
2504,750925
2505,251128
2506,119025
2507,325250
2508,400294
2509,98060
2601,202200
2602,537180
2603,146300
2604,438710
2605,224150
2606,267218
2607,190640
2608,157300
2609,297019
2610,112555
2611,65000
2612,20900
2613,19400
2614,2337721
2701,103750
2702,427473
2703,743504
2704,59619
2705,160050
2706,26052
2707,141899
2708,129698
2801,131800
2802,96700
2803,164950
2804,149349
2901,129500
2902,799299
2903,532081
2904,120700
2905,236700
2906,114049
2907,158494
2908,173002
3000,1261023
3101,157113
3102,369541
3103,286650
3201,87100
3202,56099
3203,1124515
3204,318344
3301,63950
3302,309601
3401,239056
3402,186901
3403,47350
3404,27750
3405,1170579
3406,183233
3407,121020
3408,71833
3409,282236
3410,58350
3411,150707
3412,186300
3501,126296
3502,327625
3503,93850
3601,271559
3602,339464
3603,953942
3604,113850
3605,512733
3606,144349
3607,164650
3608,165109
3609,70305
3610,169683
3611,621876
3612,589663
3613,259613
3614,1187441
3615,24000
3616,166695
3617,439950
3618,851550
3619,602483
3620,72400
3621,105550
3622,143041
3623,1335510
3624,420757
3625,104705
3626,84700
3627,99050
3701,60766
3702,160250
3703,73925
3704,45750
3705,133710
3706,8250
3707,70000
3708,264500
3709,357050
3710,829200
3711,76950
3712,0
3713,222860
3800,150900
3901,149100
3902,146861
3903,294256
3904,114550
3905,97758
3906,183802
3907,82422
3908,3298321
3909,61400
3910,137225
3911,118900
3912,975978
3913,71000
3914,320458
3915,1044512
3916,571107
4001,56650
4002,166724
4003,347082
4004,208900
4005,432289
4101,67578
4102,471882
4103,161625
4104,24100
4105,153733
4201,59450
4202,34850
4203,304594
4204,80550
4205,125987
4206,251999
4207,397514
4208,785749
4209,266390
4210,103071
4211,143063
4212,560432
4213,88450
4214,71750
4215,176556
4216,93550
4217,52400
4218,198400
4401,163300
4402,108350
4501,430710
4502,129416
4503,66875
4504,146600
4505,522410
4506,398461
4507,210713
4600,352909
4701,34150
4702,28750
4703,230556
4704,44199
4705,166150
4706,285383
4707,208076
4708,493244
4709,70382
4801,122938
4802,111580
4803,258379
4804,108337
4805,1629586
4806,89476
4807,115000
4808,508646
4809,95825
4810,284384
4811,312000
4812,221680
4813,150625
4814,118650
4815,104010
4816,82750
4817,166890
4818,48396
4819,843613
4820,166237
4821,219163
4822,174400
4823,230147
4824,302102
4825,362398
4826,97000
4827,131600
4828,133150
4829,53450
4830,25620
4831,122050
4832,941809
4833,174713
4834,54850
4835,90200
4836,30750
4901,35850
4902,119400
4903,150593
4904,150100
5000,116460
5101,117016
5102,201831
5103,63300
5104,177647
5105,464499
5106,212550
5107,117640
5108,44700
5109,41883
5110,10050
5111,181200
5301,178967
5302,87000
5303,226350
5304,11800
5305,460038
5306,210711
5307,62750
5308,258439
5309,114350
5310,436281
5401,85250
5402,1402346
5403,115300
5501,1628556
5502,114622
5503,504227
5504,425600
5505,50300
5506,24000
5507,744054
5508,165272
5600,46600
