geoid,X
101,105782
102,49800
103,26850
104,11445
105,34418
106,0
107,50148
200,18400
401,266694
402,333233
403,26691
404,10250
405,34950
406,78300
407,6750
408,14901
409,246354
501,21750
502,12152
503,35325
504,1257432
601,7450
602,73850
603,25390
604,171286
605,45695
606,27345
607,467352
608,20280
609,155404
610,27800
611,30275
612,151371
613,75350
614,104715
615,79424
616,32335
617,333132
618,102250
619,90380
620,49301
621,61350
622,14371
623,139350
624,230214
625,3750
626,297080
627,43311
628,43700
629,22800
630,59398
631,4972
632,6100
633,16900
634,28700
635,1950
636,234943
637,52325
638,21300
639,227352
640,15150
641,124959
642,22250
643,22250
644,7425
645,6250
646,42740
647,34420
648,88600
649,264110
650,16700
651,-250
652,275641
653,50000
801,45000
802,111800
803,155652
804,1457082
805,23900
806,560047
807,103788
901,39050
902,60900
903,44328
904,240720
905,244710
1000,26190
1198,4500
1201,24400
1202,162079
1203,53874
1204,38050
1205,6100
1206,97575
1207,20300
1208,99142
1209,115632
1210,85314
1211,7000
1212,25365
1213,153941
1214,24300
1215,27324
1216,131525
1217,17480
1218,365778
1219,177577
1220,20910
1221,52318
1222,108500
1223,205790
1224,3900
1225,3550
1226,244866
1227,44770
1301,545650
1302,22600
1303,37600
1304,11900
1305,27300
1306,120250
1307,6900
1308,42550
1309,31818
1310,160402
1311,193974
1312,138647
1313,10450
1314,40000
1501,315522
1502,91129
1601,39900
1602,46450
1701,2000
1702,46300
1703,5300
1704,0
1705,34010
1706,123652
1707,2720
1708,122394
1709,121101
1710,259374
1711,262832
1712,74073
1713,88300
1714,31650
1715,9340
1716,75517
1717,171114
1718,107620
1801,16600
1802,111136
1803,59850
1804,41875
1805,69000
1806,40362
1807,31500
1808,23350
1809,122100
1901,318307
1902,115100
1903,11449
1904,175960
2001,33800
2002,58800
2003,55312
2004,79650
2101,14050
2102,68395
2103,72000
2104,17250
2105,20250
2106,157820
2201,16878
2202,11860
2203,52492
2204,57000
2205,20699
2206,962716
2301,45872
2302,2000
2401,69415
2402,12000
2403,145050
2404,36950
2405,112170
2406,71900
2407,13650
2408,90700
2501,3250
2502,24604
2503,97300
2504,94600
2505,169620
2506,126881
2507,13400
2508,128855
2509,34285
2601,62581
2602,50530
2603,97458
2604,9100
2605,15050
2606,134640
2607,80175
2608,15500
2609,60800
2610,7500
2611,39100
2612,8600
2613,7600
2614,537756
2701,193383
2702,113153
2703,241435
2704,67591
2705,85116
2706,85617
2707,11800
2708,140075
2801,31100
2802,29100
2803,47150
2804,26737
2901,9550
2902,96000
2903,52240
2904,53500
2905,34750
2906,8850
2907,48150
2908,60555
3000,639011
3101,29750
3102,97322
3103,11600
3201,44450
3202,33550
3203,111935
3204,72103
3301,159662
3302,420100
3401,45299
3402,29200
3403,9500
3404,25100
3405,71559
3406,49700
3407,47310
3408,50800
3409,34250
3410,24205
3411,102200
3412,383702
3501,111456
3502,137915
3503,50050
3601,167035
3602,72130
3603,149310
3604,37105
3605,7425
3606,42500
3607,12250
3608,30150
3609,16865
3610,51300
3611,45994
3612,64249
3613,79076
3614,34260
3615,500
3616,50600
3617,251825
3618,238500
3619,182310
3620,25450
3621,34150
3622,21350
3623,70467
3624,92125
3625,44150
3626,21700
3627,33450
3701,22264
3702,44585
3703,62100
3704,62722
3705,145800
3706,3600
3707,22650
3708,45000
3709,104350
3710,18150
3711,47315
3712,0
3713,81550
3800,62300
3901,48800
3902,65654
3903,21600
3904,24600
3905,59100
3906,33022
3907,23900
3908,1269583
3909,30500
3910,42200
3911,25775
3912,78915
3913,28000
3914,114200
3915,76261
3916,58870
4001,51450
4002,43300
4003,11550
4004,32450
4005,341610
4101,56350
4102,136187
4103,24000
4104,60065
4105,80790
4201,14450
4202,3350
4203,74775
4204,22450
4205,88350
4206,38150
4207,27200
4208,121987
4209,49025
4210,53924
4211,47747
4212,110823
4213,30551
4214,6250
4215,112065
4216,5710
4217,26420
4218,36400
4401,168400
4402,51900
4501,150050
4502,42728
4503,18850
4504,15700
4505,58400
4506,24609
4507,64650
4600,207900
4701,28290
4702,5256
4703,62550
4704,51251
4705,44850
4706,38850
4707,39600
4708,43133
4709,32350
4801,78000
4802,29450
4803,54750
4804,42050
4805,107880
4806,19850
4807,69500
4808,11600
4809,22350
4810,79850
4811,65700
4812,76500
4813,122450
4814,30967
4815,6700
4816,9800
4817,77741
4818,21100
4819,32600
4820,29500
4821,83000
4822,47450
4823,46505
4824,3050
4825,109950
4826,20400
4827,60160
4828,25950
4829,6200
4830,10550
4831,38900
4832,83600
4833,54400
4834,15556
4835,116100
4836,3000
4901,1000
4902,10050
4903,10600
4904,3750
5000,56226
5101,101050
5102,133269
5103,17950
5104,100070
5105,82902
5106,80000
5107,210049
5108,32246
5109,56308
5110,18000
5111,116703
5301,180675
5302,32406
5303,135075
5304,21008
5305,116061
5306,161150
5307,35243
5308,114613
5309,19079
5310,124065
5401,35800
5402,500536
5403,65350
5501,848515
5502,39670
5503,41200
5504,30000
5505,28948
5506,9200
5507,153775
5508,144240
5600,11851
