geoid,state,statefp,district,id,A,B,C,D,E,F,G,H,J,K,L,M,T,X,Y,Z
101,AL,1,1,412601,98084,125925,23500,87000,105450,273000,351859,142950,249556,176750,2000,50100,74900,105782,207750,22000
102,AL,1,2,412394,124450,75600,30900,108750,39100,201550,77100,81380,52890,37191,1000,15600,47899,49800,116100,10461
103,AL,1,3,400341,112754,94312,42000,147849,56150,136140,30600,102900,36250,57250,10000,25750,72800,26850,120692,4000
104,AL,1,4,400004,196587,49897,53597,130645,70244,133347,84094,66544,22048,80484,22000,37500,75946,11445,88134,5500
105,AL,1,5,412395,21465,21450,33450,145500,26500,56900,20210,53000,12000,33010,0,15360,14100,34418,90870,4000
106,AL,1,6,400010,0,-1000,29500,1000,0,144000,27100,3000,9500,30250,0,2055,26676,0,0,0
107,AL,1,7,412396,58448,65550,41740,36750,60750,505520,75905,81050,49500,152957,119000,48500,51350,50148,61884,15969
200,AK,2,0,400440,10350,50750,34690,9000,84000,48688,137900,15750,24061,80663,79500,4000,52150,18400,52026,1000
401,AZ,4,1,412286,44000,26050,43760,7950,61703,157033,116861,181524,1534231,183815,311700,5700,80569,266694,125792,4555984
402,AZ,4,2,412502,55050,35130,99225,101428,53900,230933,179898,360499,2115083,164074,275500,7708,20800,333233,258677,2963942
403,AZ,4,3,400162,22650,5000,15950,-2000,10800,41250,53514,28400,38358,45592,147250,3700,5250,26691,29650,21824
404,AZ,4,4,412397,24499,12766,3000,8250,57350,24550,54902,154300,26500,21550,0,1250,15000,10250,38725,3000
405,AZ,4,5,400606,8200,28400,54100,39050,76050,92250,76350,130100,97720,70311,1000,14450,55467,34950,69429,12506
406,AZ,4,6,412399,3800,15050,26500,20000,35350,164150,68802,63550,53111,44834,1500,31850,23900,78300,49428,160000
407,AZ,4,7,400310,3000,14500,18500,29000,27000,5500,23200,0,2010,27750,67500,4000,39000,6750,4450,2500
408,AZ,4,8,400141,6300,14950,46850,54350,35700,44400,34767,22250,43670,24873,0,4000,9750,14901,37100,3000
409,AZ,4,9,412509,28500,33451,113426,36900,50689,937532,132101,286668,962991,321064,245000,15248,31750,246354,275558,912332
501,AR,5,1,412400,223916,26750,24300,0,25800,88612,82300,64147,45615,15507,3250,14750,72918,21750,85148,22000
502,AR,5,2,412401,20600,16750,13000,15000,70450,148250,61980,99738,38838,29150,0,9999,23600,12152,-47585,18929
503,AR,5,3,412402,65740,33750,36500,87426,30000,115319,204256,37980,49000,28977,5000,26248,50850,35325,72975,8000
504,AR,5,4,412508,345997,375067,281417,69150,677944,2555379,923698,913368,17468801,493614,1098405,236350,262693,1257432,1179243,6613949
601,CA,6,1,412510,242719,19450,8000,4000,56550,69450,95973,10600,38000,5200,2000,4226,31250,7450,66650,4286
602,CA,6,2,412511,45747,3750,32200,0,25950,69880,98819,80958,48430,61959,154538,10000,5750,73850,104316,3140
603,CA,6,3,412382,106999,57220,38350,60000,25500,129272,76726,65562,85321,80986,283996,11250,105377,25390,200053,22224
604,CA,6,4,412295,56175,43025,40650,9745,76550,138924,61900,31800,155536,13801,0,1500,16850,171286,104025,15350
605,CA,6,5,400403,77668,18800,49500,49000,78749,348874,318641,325525,43698,82250,101816,16500,22275,45695,120587,4508
606,CA,6,6,400663,36700,16000,189260,24000,63499,90700,62273,192550,10210,112193,109076,18500,17000,27345,50250,9464
607,CA,6,7,412512,45250,33701,172790,33700,36250,389304,144874,1067881,2677856,167731,266316,34548,60904,467352,408577,4087749
608,CA,6,8,412513,4150,86650,26000,59400,37700,64400,96950,55850,89800,29745,116209,4500,36200,20280,44800,7000
